city,sku_code,sku_name,quantity,as_of_date
Lucknow,MWBWPCK.0004.B0_N,BW White mobile box bags,3500,31-05-2026
Lucknow,MWLJPCK.0004.B0_N,Gummies box bags (9*12+2),2600,31-05-2026
Lucknow,MWLJPCK.0001.B0_N,LJ Cake Box,1600,31-05-2026
Lucknow,MWLJPCK.0006.B0_N,LJ Kit Box,1700,31-05-2026
Lucknow,MWLJPCK.0005.B0_N,LJ New Gummies 30's BOX,1200,31-05-2026
Lucknow,MWLJPCK.0002.B0_N,LJ medium (gummies) box,1800,31-05-2026
Lucknow,MWMMPCK.0002.AAAA.B0_N,MM Cake Box,2300,31-05-2026
Lucknow,MWMMPCK.0005.AAAA.B0_N,MM Cake Box Bags (Printed),2600,31-05-2026
Lucknow,MWMMPCK.0006.AAAA.B0_N,MM Essential Kit Box Bags,1400,31-05-2026
Lucknow,MWMMPCK.0001.AAAA.B0_N,MM Kit Box,100,31-05-2026
Lucknow,MWMMPCK.0003.AAAA.B0_N,MM Mobile Box,2300,31-05-2026
Lucknow,MWMMPCK.0008.AAAA.B0_N,MM Mobile Box Bags (Printed),3600,31-05-2026
Lucknow,MWMMPCK.0007.AAAA.B0_N,MM Sexual Box Bags,2500,31-05-2026
Lucknow,MWMMPCK.0004.AAAA.B0_N,MM Sexual wellness Box,1800,31-05-2026
Lucknow,MWMMPCK.0009.AAAA.B0_N,MM medium (Gummies) Box,1500,31-05-2026
Lucknow,OWNAPP.0003,OuterBox Pack of 1,0,31-05-2026
Lucknow,OWNAPP.0002,OuterBox Pack of 2,0,31-05-2026
Lucknow,POIGN44,Transparent Tape,30,31-05-2026
Lucknow,MWLJPCK.0008.B0_N,White Bulk Box Medium,300,31-05-2026
Lucknow,MWMMPCK.0010.AAAA.B0_N,White bulk box,0,31-05-2026
NCR,MWBWPCK.0002.B0_N,BB Mobile Box,800,31-05-2026
NCR,MWBWPCK.0005.B0_N,BB medium (Gummies) Box,500,31-05-2026
NCR,MWBWPCK.0001.B0_N,BW Cake Box,4500,31-05-2026
NCR,MWBWPCK.0006.B0_N,BW Kit Box,0,31-05-2026
